09:28:40.570031
40  0 23.5
90.0 40.00 0.00 23.5
90.0 
90.0 
90.0 42.50 47.50 23.5
90.0 44.87 45.13 23.5
90.0 47.13 42.87 23.5
90.0 49.27 40.73 23.5
90.0 51.31 38.69 23.5
90.0 53.25 36.75 23.5
90.0 55.08 34.92 23.5
90.0 56.83 33.17 23.5
90.0 58.49 31.51 23.5
90.0 60.06 29.94 23.5
90.0 61.56 28.44 23.5
90.0 62.98 27.02 23.5
90.0 64.33 25.67 23.5
90.0 65.62 24.38 23.5
90.0 66.84 23.16 23.5
90.0 67.99 22.01 23.5
90.0 69.09 20.91 23.5
90.0 70.14 19.86 23.5
90.0 71.13 18.87 23.5
90.0 72.08 17.92 23.5
90.0 72.97 17.03 23.5
90.0 73.82 16.18 23.5
90.0 74.63 15.37 23.5
90.0 75.40 14.60 23.5
90.0 76.13 13.87 23.5
90.0 76.82 13.18 23.5
90.0 77.48 12.52 23.5
90.0 78.11 11.89 23.5
90.0 78.70 11.30 23.5
90.0 79.27 10.73 23.5
90.0 79.80 10.20 23.5
90.0 80.31 9.69 23.5
90.0 80.80 9.20 23.5
90.0 81.26 8.74 23.5
90.0 81.70 8.30 23.5
90.0 82.11 7.89 23.5
90.0 82.51 7.49 23.5
90.0 82.88 7.12 23.5
90.0 83.24 6.76 23.5
90.0 83.57 6.43 23.5
90.0 83.90 6.10 23.5
90.0 84.20 5.80 23.5
90.0 84.49 5.51 23.5
90.0 84.77 5.23 23.5
90.0 85.03 4.97 23.5
90.0 85.28 4.72 23.5
90.0 85.51 4.49 23.5
90.0 85.74 4.26 23.5
90.0 85.95 4.05 23.5
90.0 86.15 3.85 23.5
90.0 86.35 3.65 23.5
90.0 86.53 3.47 23.5
90.0 86.70 3.30 23.5
90.0 86.87 3.13 23.5
90.0 87.02 2.98 23.5
90.0 87.17 2.83 23.5
90.0 87.31 2.69 23.5
90.0 87.45 2.55 23.5
90.0 87.58 2.42 23.5
90.0 87.70 2.30 23.5
90.0 87.81 2.19 23.5
90.0 87.92 2.08 23.5
90.0 88.03 1.97 23.5
90.0 88.12 1.88 23.5
90.0 88.22 1.78 23.5
90.0 88.31 1.69 23.5
90.0 88.39 1.61 23.5
90.0 88.47 1.53 23.5
90.0 88.55 1.45 23.5
90.0 88.62 1.38 23.5
90.0 88.69 1.31 23.5
90.0 88.76 1.24 23.5
90.0 88.82 1.18 23.5
90.0 88.88 1.12 23.5
90.0 88.93 1.07 23.5
90.0 88.99 1.01 23.5
90.0 89.04 0.96 23.5
90.0 89.09 0.91 23.5
90.0 89.13 0.87 23.5
90.0 89.17 0.83 23.5
90.0 89.22 0.78 23.5
90.0 89.25 0.75 23.5
90.0 89.29 0.71 23.5
90.0 89.33 0.67 23.5
90.0 89.36 0.64 23.5
90.0 89.39 0.61 23.5
90.0 89.42 0.58 23.5
90.0 89.45 0.55 23.5
90.0 89.48 0.52 23.5
90.0 89.51 0.49 23.5
90.0 89.53 0.47 23.5
90.0 89.55 0.45 23.5
90.0 89.58 0.42 23.5
90.0 89.60 0.40 23.5
90.0 89.62 0.38 23.5
90.0 89.64 0.36 23.5
90.0 89.65 0.35 23.5
90.0 89.67 0.33 23.5
90.0 89.69 0.31 23.5
90.0 89.70 0.30 23.5
90.0 89.72 0.28 23.5
90.0 89.73 0.27 23.5
90.0 89.75 0.25 23.5
90.0 89.76 0.24 23.5
90.0 89.77 0.23 23.5
90.0 89.78 0.22 23.5
90.0 89.79 0.21 23.5
90.0 89.80 0.20 23.5
90.0 89.81 0.19 23.5
90.0 89.82 0.18 23.5
90.0 89.83 0.17 23.5
90.0 89.84 0.16 23.5
90.0 89.85 0.15 23.5
90.0 89.86 0.14 23.5
90.0 89.86 0.14 23.5
90.0 89.87 0.13 23.5
90.0 89.88 0.12 23.5
90.0 89.88 0.12 23.5
90.0 89.89 0.11 23.5
90.0 89.89 0.11 23.5
90.0 89.90 0.10 23.5
90.0 89.90 0.10 23.5
90.0 89.91 0.09 23.5
90.0 89.91 0.09 23.5
90.0 89.92 0.08 23.5
90.0 89.92 0.08 23.5
90.0 89.93 0.07 23.5
90.0 89.93 0.07 23.5
90.0 89.93 0.07 23.5
90.0 89.94 0.06 23.5
90.0 89.94 0.06 23.5
90.0 89.94 0.06 23.5
90.0 89.95 0.05 23.5
90.0 89.95 0.05 23.5
90.0 89.95 0.05 23.5
90.0 89.95 0.05 23.5
90.0 89.96 0.04 23.5
90.0 89.96 0.04 23.5
90.0 89.96 0.04 23.5
90.0 89.96 0.04 23.5
90.0 89.96 0.04 23.5
90.0 89.97 0.03 23.5
90.0 89.97 0.03 23.5
90.0 89.97 0.03 23.5
90.0 89.97 0.03 23.5
90.0 89.97 0.03 23.5
90.0 89.97 0.03 23.5
90.0 89.97 0.03 23.5
90.0 89.98 0.02 23.5
90.0 89.98 0.02 23.5
90.0 89.98 0.02 23.5
90.0 89.98 0.02 23.5
90.0 89.98 0.02 23.5
90.0 89.98 0.02 23.5
90.0 89.98 0.02 23.5
90.0 89.98 0.02 23.5
90.0 89.98 0.02 23.5
90.0 89.98 0.02 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
