55.0 44.12 255.00 25.2
55.0 44.19 255.00 25.5
55.0 44.24 255.00 24.8
55.0 44.30 255.00 25.1
55.0 44.40 255.00 25.1
55.0 44.38 255.00 25.6
55.0 44.45 255.00 24.8
55.0 44.50 255.00 25.0
55.0 44.56 255.00 24.3
55.0 44.75 255.00 24.7
55.0 44.83 255.00 24.8
55.0 44.97 255.00 25.2
55.0 45.00 255.00 25.0
55.0 45.05 255.00 24.7
55.0 45.11 255.00 24.7
55.0 45.21 255.00 24.5
55.0 45.27 255.00 23.3
55.0 45.31 255.00 24.7
55.0 45.39 255.00 24.8
55.0 45.46 255.00 24.6
55.0 45.58 255.00 24.7
55.0 45.67 255.00 24.5
55.0 45.69 255.00 25.0
55.0 45.76 255.00 25.4
55.0 45.80 255.00 24.7
55.0 45.85 255.00 24.8
55.0 45.81 255.00 24.7
55.0 45.79 255.00 24.3
55.0 45.85 255.00 24.5
55.0 45.91 255.00 24.8
55.0 45.98 255.00 24.1
55.0 46.19 245.34 24.5
55.0 46.24 255.00 24.4
55.0 46.33 255.00 24.9
55.0 46.40 255.00 25.1
55.0 46.44 255.00 24.5
55.0 46.50 255.00 24.7
55.0 46.49 255.00 24.7
55.0 46.47 255.00 25.1
55.0 46.54 255.00 24.4
55.0 46.58 255.00 24.7
55.0 46.63 255.00 24.1
55.0 46.71 251.63 24.5
55.0 46.86 240.01 24.5
55.0 46.92 255.00 24.3
55.0 47.04 230.16 24.1
55.0 47.07 255.00 24.2
55.0 47.12 255.00 24.1
55.0 47.28 222.34 24.3
55.0 47.33 239.46 23.0
55.0 47.40 255.00 23.9
55.0 47.44 239.62 23.7
55.0 47.49 247.38 23.7
55.0 47.57 234.60 22.9
55.0 47.61 247.17 23.5
55.0 47.68 222.30 23.4
55.0 47.77 213.51 23.5
55.0 47.82 249.81 22.0
55.0 47.84 231.44 23.4
55.0 47.98 204.00 23.0
55.0 48.02 233.86 23.6
55.0 48.09 220.99 22.3
55.0 48.11 222.98 22.8
55.0 48.20 212.25 22.4
55.0 48.24 225.01 22.8
55.0 48.27 224.95 22.0
55.0 48.25 232.08 22.4
55.0 48.36 210.57 22.3
55.0 48.41 205.54 22.3
55.0 48.39 227.87 22.2
55.0 48.44 226.63 22.0
55.0 48.53 187.60 21.9
55.0 48.53 224.51 21.9
55.0 48.59 196.79 21.3
55.0 48.66 213.31 21.4
55.0 48.70 196.96 21.4
55.0 48.74 207.05 21.2
55.0 48.75 215.62 20.9
55.0 48.76 215.60 20.9
55.0 48.82 188.06 21.1
55.0 48.94 187.06 20.9
55.0 49.09 151.56 21.1
55.0 49.13 193.43 19.7
55.0 49.16 184.04 19.9
55.0 49.20 193.31 19.8
55.0 49.25 184.50 19.8
55.0 49.33 165.90 19.2
55.0 49.38 189.13 19.5
55.0 49.39 184.41 19.0
55.0 49.42 188.59 19.2
55.0 49.48 166.13 18.6
55.0 49.54 179.99 18.7
55.0 49.58 170.92 18.8
55.0 49.67 157.33 18.6
55.0 49.71 174.97 18.5
55.0 49.87 130.02 18.2
55.0 50.09 95.98 18.1
55.0 50.12 153.20 17.3
55.0 50.15 160.98 17.0
55.0 50.19 148.63 16.8
55.0 50.32 124.72 16.7
55.0 50.34 156.21 16.2
55.0 50.38 151.70 17.3
55.0 50.41 144.28 15.7
55.0 50.45 154.51 15.9
55.0 50.50 134.99 16.2
55.0 50.53 146.97 16.4
55.0 50.59 137.88 15.7
55.0 50.62 142.33 15.4
55.0 50.63 144.63 15.5
55.0 50.67 130.53 15.1
55.0 50.71 144.68 15.4
55.0 50.79 116.40 14.9
55.0 50.95 96.08 15.0
55.0 50.96 130.98 14.4
55.0 51.00 128.14 14.3
55.0 51.05 116.81 14.2
55.0 51.08 128.01 14.0
55.0 51.11 127.96 13.7
55.0 51.21 100.27 13.6
55.0 51.24 117.11 13.4
55.0 51.23 142.25 13.1
55.0 51.25 117.13 13.5
55.0 51.32 102.78 13.3
55.0 51.34 128.78 12.9
55.0 51.38 107.71 12.7
55.0 51.44 104.51 12.0
55.0 51.52 93.38 12.7
55.0 51.57 104.30 12.8
55.0 51.62 98.40 12.8
55.0 51.65 103.30 12.0
55.0 51.70 99.46 12.3
55.0 51.73 98.59 12.0
55.0 51.71 113.35 11.8
55.0 51.81 74.21 11.7
55.0 51.89 85.18 11.2
55.0 51.95 78.71 11.2
55.0 51.97 94.10 10.8
55.0 51.99 94.14 10.6
55.0 52.03 89.30 10.5
55.0 52.06 84.41 10.8
55.0 52.10 84.51 10.4
55.0 52.12 89.45 10.3
55.0 52.17 74.61 10.0
55.0 52.21 79.78 10.0
55.0 52.28 70.00 10.1
55.0 52.38 55.20 10.0
55.0 52.49 44.70 9.2
55.0 52.48 81.40 9.0
55.0 52.48 81.39 8.8
55.0 52.49 72.27 9.0
55.0 52.48 86.54 8.6
55.0 52.53 55.99 8.9
55.0 52.51 90.07 8.6
55.0 52.45 99.17 8.3
55.0 52.48 66.62 8.4
55.0 52.42 101.67 8.6
55.0 52.44 80.14 8.6
55.0 52.57 34.46 8.5
55.0 52.56 78.33 8.4
55.0 52.59 70.50 8.2
55.0 52.62 62.32 8.3
55.0 52.63 67.96 8.6
55.0 52.67 61.47 8.0
55.0 52.64 87.34 8.8
55.0 52.67 61.49 7.8
55.0 52.70 62.98 7.9
55.0 52.71 63.14 8.2
55.0 52.73 70.72 7.6
55.0 52.76 57.99 7.7
55.0 52.79 62.06 7.7
55.0 52.80 67.35 7.8
55.0 52.79 72.55 7.4
55.0 52.74 85.42 6.7
55.0 52.80 47.17 7.6
55.0 52.85 55.95 7.4
55.0 52.84 69.77 7.4
55.0 52.87 57.22 6.9
55.0 52.89 59.10 7.1
55.0 52.86 78.10 7.1
55.0 52.88 62.50 6.1
55.0 52.90 53.67 7.2
55.0 52.99 36.57 7.0
